REG. NO.,ACC. NO.,NAME,NATIONALITY,FACULTY,DEPARTMENT,PROGRAM ID,PROGRAM,YEAR,SEMESTER,TOTAL REGISTRATIONS,STUDENT STATUS,REGISTRATION TYPE,RESIDENCE,ACCOMMODATION Type,CAMPUS,HALL,BLOCK,BED,MEALS STATUS,HIGH_SCHOOL,DISTRICT,SCHOOL_TIER,OWNERSHIP,SCHOLARSHIP TYPE,SCHOLARSHIP NAME,FEES,EXPECTED FEES(%) - RAW,EXPECTED FEES(%) - RANGE,TOTAL EXPECTED FEES (UGX),AMOUNT PAID (UGX),TUITION BALANCE (UGX),ACADEMIC OFFICER,ACCOMMODATION OFFICER,ACCOUNTS OFFICER,FINANCIAL AID OFFICER,RETAKE COURSES
KM23B39/010,A10368,Jackline Olara,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,3,2,6,Continuing,Late,NR,None,Kampala,,,,Not Applicable,Mbale Secondary School,Mbale,Tier 2,Public/Mixed,,,95%,95,76–100%,3283000,3118850,164150,Nabirye Ddamulira,Anena Kagimu,Rose Muwonge,Richard Nakibuuka,"BOS0604, BOS0605, BOS0607"
KM24B39/005,A10380,Saul Kayemba,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,2,2,4,Continuing,Normal,R,Executive,Kampala,Gamma Hall,C,C-02,Subscribed,Mbale Secondary School,Mbale,Tier 2,Public/Mixed,,,80%,80,76–100%,5083000,4066400,1016600,Vincent Acen,Harriet Kato,Caleb Galiwango,Nandutu Naggenda,"BOS0401, BOS0407"
KM25B39/006,A10335,Daisy Tindyebwa,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,1,2,2,Continuing,Normal,R,Double Normal,Kampala,Beta Hall,C,C-40,Subscribed,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed,,,60%,60,51–75%,4283000,2569800,1713200,Sylvia Oringa,Naava Ssenoga,Naava Nakandi,Peter Kamanzi,BOS0104
KS24B39/006,A10347,Charles Kayondo,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,2,2,4,Continuing,Normal,NR,None,Kampala,,,,Not Applicable,Nabumali High School,Mbale,Tier 1,Private/Faith-based,,,20%,20,0–25%,3283000,656600,2626400,Martin Ssewava,Doreen Kamara,Daniel Nakalema,James Nassaka,"BOS0203, BOS0206"
KS25B39/002,A10311,Vincent Ntale,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,1,2,2,Continuing,Normal,R,Double Normal,Kampala,Delta Hall,C,C-55,Not Subscribed,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based,,,70%,70,51–75%,4283000,2998100,1284900,Edwin Kamanzi,Susan Bagiire,Hope Nansubuga,Naava Sabiiti,"BOS0105, BOS0106"
KS25B39/006,A10378,Diana Tumuhimbise,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,1,1,1,Leave of Absence,Normal,NR,None,Kampala,,,,Not Applicable,Kalangala Secondary School,Kalangala,Tier 2,Public/Mixed,,,35%,35,26–50%,3283000,1149050,2133950,Judith Ssenoga,Apollo Wandera,Nabulime Matovu,Adong Twinamatsiko,"BOS0101, BOS0104"
M23B39/005,A10341,Zaituni Walakira,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,3,2,6,Continuing,Late,NR,None,Mukono,,,,Not Applicable,Jinja Secondary School,Jinja,Tier 2,Public/Mixed,,,100%,100,76–100%,3283000,3283000,0,Diana Nsereko,Nakimera Ssempijja,Zaina Achola,Lawrence Kayondo,BOS0503
M23B39/008,A10360,Harriet Kayondo,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,3,2,6,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,King's College Budo,Kampala,Tier 1,Private/Faith-based,Merit Award,Bright Minds Scholarship,60%,60,51–75%,3283000,1969800,1313200,Gertrude Nakalema,Mugisha Kisitu,Martin Nakafeero,Prisca Ikojo,BOS0604
M23B39/012,A10390,Aisha Wasswa,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,3,2,6,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based,,,100%,100,76–100%,3283000,3283000,0,Moses Katusiime,Patrick Byarugaba,Lawrence Kalibbala,Martin Mugisha,"BOS0602, BOS0603, BOS0604"
M23B39/014,A10405,Nabulime Ninsiima,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,3,2,6,Continuing,Normal,R,Executive,Mukono,Gamma Hall,A,A-39,Subscribed,Tororo Girls School,Tororo,Tier 2,Private/Faith-based,,,40%,40,26–50%,4783000,1913200,2869800,Shamim Nakafeero,Esther Bamwine,Walter Ssekandi,Edith Barasa,"BOS0605, BOS0606, BOS0607"
M24B39/002,A10348,Warren Ainomugisha,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,2,2,4,Continuing,Normal,R,Ordinary,Mukono,Beta Hall,D,D-34,Not Subscribed,St. Lawrence Schools,Kampala,Tier 2,Private/Faith-based,,,100%,100,76–100%,3933000,3933000,0,Ben Kansiime,Dorothy Yiga,Walter Wasswa,Naava Mugabi,BOS0404
M24B39/004,A10355,Kevin Barasa,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,2,2,4,Continuing,Normal,R,Executive,Mukono,Delta Hall,B,B-32,Not Subscribed,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based,,,70%,70,51–75%,4783000,3348100,1434900,Esther Kayondo,Gertrude Babirye,Namazzi Obua,Nakimera Muhangi,BOS0404
M24B39/007,A10389,Prisca Mayanja,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,2,2,4,Continuing,Normal,R,Double Normal,Mukono,Beta Hall,B,B-53,Not Subscribed,Lyantonde Secondary School,Lyantonde,Tier 2,Public/Mixed,,,50%,50,26–50%,4133000,2066500,2066500,Noah Waiswa,Edith Kikomeko,Namazzi Olara,Simon Acen,"BOS0402, BOS0407"
M25B39/001,A10305,Olivia Ssekiziyivu,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,1,2,2,Continuing,Late,R,Ordinary,Mukono,Delta Hall,A,A-08,Subscribed,St. Charles Lwanga Secondary School,Kasese,Tier 2,Private/Faith-based,,,50%,50,26–50%,3933000,1966500,1966500,Saul Naddumba,Tabitha Ouma,Patience Nakalema,Francis Muwonge,"BOS0203, BOS0207"
M25B39/004,A10330,Ivan Pereza,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,1,2,2,Continuing,Normal,R,Executive,Mukono,Gamma Hall,A,A-03,Subscribed,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed,,,70%,70,51–75%,4783000,3348100,1434900,Daisy Nakayiza,Elijah Ouma,Caleb Tindyebwa,Ruth Nabaggala,"BOS0202, BOS0206, BOS0207"
M25B39/007,A10338,Emmanuel Bbaale,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,1,2,2,Continuing,Normal,R,Executive,Mukono,Delta Hall,B,B-10,Not Subscribed,Mubende Secondary School,Mubende,Tier 2,Public/Mixed,Leadership Grant,Integrity Award,40%,40,26–50%,4783000,1913200,2869800,Hellen Nassaka,Nakanwagi Magezi,Proscovia Nsubuga,Patience Naggenda,"BOS0201, BOS0203, BOS0205"
M25B39/009,A10357,Harper Young,Kenyan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,1,2,2,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Kamuli Secondary School,Kamuli,Tier 2,Public/Mixed,,,30%,30,26–50%,3283000,984900,2298100,Nabirye Ladu,Lilian Ssenfuma,Nakato Kagimu,Zaituni Kabagenyi,BOS0206
M25B39/011,A10376,David Tumusiime,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,1,2,2,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Sembabule Secondary School,Sembabule,Tier 2,Public/Mixed,,,75%,75,51–75%,3283000,2462250,820750,Yasin Bamwine,Nakanwagi Mayanja,Asiimwe Tabaaro,Emmanuel Namaganda,BOS0101
S23B39/001,A10308,Diana Ssenfuma,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,3,2,6,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Ngora High School,Soroti,Tier 2,Private/Faith-based,Merit Award,Integrity Award,65%,65,51–75%,3283000,2133950,1149050,Oliver Zziwa,Rose Kayondo,Paul Kalyango,Susan Kiconco,BOS0506
S23B39/003,A10315,Akiiki Namirembe,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,3,2,6,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,,,85%,85,76–100%,3283000,2790550,492450,Naggayi Ssenoga,Gerald Namutebi,Nakanwagi Nafuna,Dorothy Nakiyingi,"BOS0501, BOS0504, BOS0505"
S23B39/005,A10321,Benjamin Baker,Tanzanian,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,3,2,6,Continuing,Normal,R,Executive,Mukono,Gamma Hall,B,B-43,Not Subscribed,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed,,,25%,25,0–25%,4783000,1195750,3587250,Nambi Nabawanuka,Joseph Okello,Abraham Nandutu,Francis Nakimera,BOS0504
S23B39/007,A10332,Irene Bamwine,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,3,1,5,Leave of Absence,Normal,NR,None,Mukono,,,,Not Applicable,Ntare School,Kampala,Tier 1,Public/Mixed,,,85%,85,76–100%,3283000,2790550,492450,Timothy Ddamulira,Yasin Nuwagaba,Mugisha Nakacwa,Kevin Kakooza,"BOS0502, BOS0504"
S23B39/009,A10343,Fred Abigaba,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,3,2,6,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Kamuli Secondary School,Kamuli,Tier 2,Public/Mixed,,,70%,70,51–75%,3283000,2298100,984900,Nabasirye Ntambi,Nabirye Nabunya,Amina Kisembo,Faith Jjumba,"BOS0304, BOS0306"
S23B39/012,A10377,Nakimera Nakiganda,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,3,2,6,Continuing,Normal,R,Double Normal,Mukono,Delta Hall,D,D-08,Subscribed,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,,,100%,100,76–100%,4133000,4133000,0,Achan Okello,Moses Nakafeero,Mark Bbaale,Nambooze Wandera,BOS0502
S24B39/001,A10304,Annet Lumala,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,2,2,4,Continuing,Late,R,Double Normal,Mukono,Gamma Hall,A,A-02,Not Subscribed,Seeta High School,Kampala,Tier 2,Private/Faith-based,,,45%,45,26–50%,4133000,1859850,2273150,Gerald Ssentongo,Simon Nsubuga,Joseph Waiswa,Nakuya Pereza,"BOS0301, BOS0302, BOS0304"
S24B39/003,A10336,Janet Wanyama,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,2,2,4,Continuing,Late,R,Executive,Mukono,Beta Hall,A,A-17,Not Subscribed,Uganda Martyrs High School,Kampala,Tier 2,Private/Faith-based,,,80%,80,76–100%,4783000,3826400,956600,John Tibyangye,Asiimwe Kiconco,Francis Kaddu,Mugisha Adong,BOS0302
S24B39/005,A10345,Joshua Kafuko,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,2,2,4,Continuing,Normal,R,Ordinary,Mukono,Delta Hall,A,A-36,Not Subscribed,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,,,35%,35,26–50%,3933000,1376550,2556450,Judith Ssekiziyivu,Violet Nakimera,Aisha Kalibbala,Triza Muzira,"BOS0301, BOS0302, BOS0304"
S24B39/008,A10382,Namyalo Ssentongo,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,2,1,3,Leave of Absence,Normal,R,Ordinary,Mukono,Gamma Hall,B,B-37,Not Subscribed,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,,,40%,40,26–50%,3933000,1573200,2359800,Ivan Bamwine,Gloria Okot,Isaac Zziwa,Abel Mulyagonja,"BOS0303, BOS0304"
S24B39/011,A10404,Isaac Naggenda,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,2,2,4,Continuing,Normal,R,Ordinary,Mukono,Beta Hall,A,A-46,Not Subscribed,Ntare School,Kampala,Tier 1,Public/Mixed,Merit Award,Integrity Award,90%,90,76–100%,3933000,3539700,393300,Peter Ninsiima,Warren Kayondo,Robert Otim,Noah Kazibwe,"BOS0303, BOS0305, BOS0306"
S25B39/004,A10363,Nambooze Sserugo,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,1,2,2,Continuing,Normal,R,Executive,Mukono,Delta Hall,A,A-08,Not Subscribed,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,,,35%,35,26–50%,4783000,1674050,3108950,Hope Akiiki,Vincent Nakitto,Achan Chemutai,Zaituni Bainomugisha,
S25B39/007,A10386,Sheila Abigaba,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,1,2,2,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Masaka Secondary School,Masaka,Tier 2,Public/Mixed,,,45%,45,26–50%,3283000,1477350,1805650,David Nakiyingi,Nakintu Nakitto,Namutebi Mugabi,Sharifah Ocaya,"BOS0102, BOS0103, BOS0105"
S25B39/009,A10400,Elizabeth Nakyanzi,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,39,Bachelor of Science in Agricultural Science and Entrepreneurship,1,2,2,Continuing,Late,R,Executive,Mukono,Delta Hall,B,B-29,Subscribed,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,,,60%,60,51–75%,4783000,2869800,1913200,Nabulime Nalubega,Violet Nakato,Sarah Muhangi,Namutebi Kiyingi,BOS0103
J23B41/002,A10418,Elijah Jones,Tanzanian,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,3,2,6,Finalist,Normal,NR,None,Mukono,,,,Not Applicable,St. Lawrence Schools,Kampala,Tier 2,Private/Faith-based,,,100%,100,76–100%,3283000,3283000,0,Natukunda Naggenda,Apollo Bataringaya,George Kiyingi,Valerie Balikuddembe,BOS0603
J23B41/005,A10451,Nambi Kato,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,3,2,6,Finalist,Normal,R,Ordinary,Mukono,Delta Hall,A,A-37,Not Subscribed,Kumi Secondary School,Kumi,Tier 2,Public/Mixed,,,95%,95,76–100%,3933000,3736350,196650,Brian Nakyanzi,Atwine Kalyegira,Nakintu Namutebi,Denis Nakafeero,"BOS0601, BOS0604, BOS0605"
J23B41/008,A10464,Amina Nalubega,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,3,2,6,Finalist,Normal,R,Double Normal,Mukono,Delta Hall,C,C-22,Not Subscribed,King's College Budo,Kampala,Tier 1,Private/Faith-based,Need-Based Grant,Community Impact Grant,85%,85,76–100%,4133000,3513050,619950,Achan Ssenfuma,Faith Ddamulira,Sheila Nakabuye,Namyalo Nakiganda,"BOS0601, BOS0604"
J23B41/010,A10478,Grace Namagombe,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,3,2,6,Finalist,Normal,R,Executive,Mukono,Delta Hall,B,B-45,Not Subscribed,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,,,45%,45,26–50%,4783000,2152350,2630650,Nancy Gitta,Nakato Magezi,Eunice Muhangi,Prisca Nassaka,BOS0607
J23B41/013,A10506,Eunice Kibirige,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,3,2,6,Finalist,Normal,R,Executive,Mukono,Delta Hall,C,C-07,Subscribed,Ntare School,Kampala,Tier 1,Public/Mixed,,,75%,75,51–75%,4783000,3587250,1195750,Solomon Ainomugisha,Solomon Namyalo,Judy Ssenoga,Nambi Bashaija,"BOS0603, BOS0604"
J24B41/004,A10437,Ronald Amanya,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,3,1,5,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Jinja Secondary School,Jinja,Tier 2,Public/Mixed,,,75%,75,51–75%,3283000,2462250,820750,Gift Muzira,Yasin Nuwagaba,Mugisha Nakacwa,Kevin Kakooza,"BOS0401, BOS0402, BOS0404"
J24B41/007,A10466,Mildred Nakitto,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,3,1,5,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed,Merit Award,Bright Minds Scholarship,50%,50,26–50%,3283000,1641500,1641500,Yusuf Natukunda,Dorothy Malinga,Asiimwe Nakiyingi,Patience Natukunda,"BOS0402, BOS0406"
J24B41/009,A10510,Ivan Kamara,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,3,1,5,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Butambala Secondary School,Butambala,Tier 2,Public/Mixed,,,60%,60,51–75%,3283000,1969800,1313200,Sharifah Kafuko,Esther Bamwine,Walter Ssekandi,Edith Barasa,BOS0403
J25B41/002,A10439,Achan Kikomeko,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,2,1,3,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Mityana Secondary School,Mityana,Tier 2,Public/Mixed,,,70%,70,51–75%,3283000,2298100,984900,Namutebi Ninsiima,Grace Matovu,Namirembe Wandera,Apollo Ssewava,BOS0104
J25B41/005,A10474,Nakimera Opio,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,2,1,3,Continuing,Normal,R,Double Normal,Mukono,Alpha Hall,D,D-38,Subscribed,Mbale Secondary School,Mbale,Tier 2,Public/Mixed,,,35%,35,26–50%,4133000,1446550,2686450,Victor Isabirye,Warren Akello,Sylvia Ssenfuma,Joy Kibirige,BOS0203
J25B41/007,A10483,Vanessa Nandutu,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,1,2,2,Leave of Absence,Normal,NR,None,Mukono,,,,Not Applicable,Sembabule Secondary School,Sembabule,Tier 2,Public/Mixed,,,95%,95,76–100%,3283000,3118850,164150,Patrick Bainomugisha,Apollo Wandera,Nabulime Matovu,Adong Twinamatsiko,BOS0201
J25B41/009,A10496,Nancy Kibirige,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,2,1,3,Continuing,Late,R,Ordinary,Mukono,Gamma Hall,A,A-01,Not Subscribed,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,,,35%,35,26–50%,3933000,1376550,2556450,Rose Kalyegira,Irene Mukwaya,Grace Tumusiime,David Bashaija,BOS0207
J25B41/011,A10505,Nakintu Mulyagonja,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,2,1,3,Continuing,Normal,R,Double Normal,Mukono,Delta Hall,D,D-04,Subscribed,Kibale Secondary School,Kibale,Tier 2,Public/Mixed,Sports Bursary,Future Leaders Grant,100%,100,76–100%,4133000,4133000,0,Emmanuel Acen,Violet Nakato,Sarah Muhangi,Namutebi Kiyingi,BOS0207
KJ23B41/003,A10444,Lilian Ocaya,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,4,1,7,Retake/Probation,Normal,NR,None,Kampala,,,,Not Applicable,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based,,,55%,55,51–75%,3283000,1805650,1477350,Mildred Asiimwe,Diana Wakabi,Charles Kigozi,Winnie Opio,BOS0402
KJ23B41/011,A10485,Nandutu Muwanga,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,3,2,6,Finalist,Normal,NR,None,Kampala,,,,Not Applicable,King's College Budo,Kampala,Tier 1,Private/Faith-based,,,30%,30,26–50%,3283000,984900,2298100,Vincent Nakalema,Harriet Kato,Caleb Galiwango,Nandutu Naggenda,BOS0403
KJ24B41/002,A10423,David Kibirige,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,3,1,5,Continuing,Late,NR,None,Kampala,,,,Not Applicable,Muni Girls School,Arua,Tier 2,Private/Faith-based,,,45%,45,26–50%,3283000,1477350,1805650,Irene Mirembe,Yasin Bbaale,Nancy Nakandi,Shamim Byaruhanga,"BOS0104, BOS0105"
KJ25B41/004,A10467,Juliet Ainomugisha,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,2,1,3,Continuing,Normal,R,Ordinary,Kampala,Alpha Hall,D,D-60,Subscribed,Seeta High School,Kampala,Tier 2,Private/Faith-based,,,30%,30,26–50%,4133000,1239900,2893100,Mugisha Nakaggwa,Trevor Nakitto,Susan Magezi,Lloyd Wasswa,"BOS0205, BOS0206, BOS0207"
KM23B41/004,A10435,Achan Mugerwa,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,3,2,6,Continuing,Normal,R,Double Normal,Kampala,Alpha Hall,C,C-50,Not Subscribed,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based,,,35%,35,26–50%,4283000,1499050,2783950,Peace Ntambi,Elijah Ouma,Caleb Tindyebwa,Ruth Nabaggala,"BOS0601, BOS0603, BOS0604"
KM24B41/010,A10490,Judy Ssekiziyivu,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,2,2,4,Continuing,Normal,R,Ordinary,Kampala,Alpha Hall,A,A-09,Not Subscribed,Iganga Secondary School,Iganga,Tier 2,Public/Mixed,,,60%,60,51–75%,4133000,2479800,1653200,Peace Lwanga,Proscovia Nakiganda,Irene Nakato,Martin Wandera,"BOS0203, BOS0206"
KM25B41/003,A10415,Isabella Young,Indian,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,1,2,2,Continuing,Normal,R,Ordinary,Kampala,Beta Hall,C,C-43,Not Subscribed,Bundibugyo Secondary School,Bundibugyo,Tier 2,Public/Mixed,,,50%,50,26–50%,4133000,2066500,2066500,Fred Bashaija,Daniel Mulindwa,Precious Nakafeero,Akello Waiswa,"BOS0202, BOS0203, BOS0204"
KM25B41/007,A10440,Lydia Ssenoga,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,1,2,2,Continuing,Late,NR,None,Kampala,,,,Not Applicable,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based,,,70%,70,51–75%,3283000,2298100,984900,Patience Lwanga,Naava Ssenoga,Naava Nakandi,Peter Kamanzi,BOS0106
KM25B41/013,A10488,Anena Nakimera,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,1,2,2,Continuing,Normal,NR,None,Kampala,,,,Not Applicable,St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based,,,35%,35,26–50%,3283000,1149050,2133950,Deborah Bbaale,Irene Nakacwa,Joshua Nakalema,Esther Nakandi,"BOS0201, BOS0203, BOS0206"
KM25B41/015,A10503,Hope Nafuna,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,1,2,2,Continuing,Normal,NR,None,Kampala,,,,Not Applicable,Jinja Secondary School,Jinja,Tier 2,Public/Mixed,,,55%,55,51–75%,3283000,1805650,1477350,Yusuf Nakimera,Juliet Nandutu,Abel Walakira,Warren Bbaale,BOS0204
KS23B41/007,A10456,Sarah Davis,Kenyan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,3,2,6,Continuing,Normal,NR,None,Kampala,,,,Not Applicable,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based,,,90%,90,76–100%,3283000,2954700,328300,Amina Ainomugisha,Peter Abigaba,Grace Kisembo,Daisy Arinaitwe,"BOS0301, BOS0306"
KS24B41/006,A10445,Precious Obua,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,2,2,4,Continuing,Normal,NR,None,Kampala,,,,Not Applicable,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,,,70%,70,51–75%,3283000,2298100,984900,Nambi Nabukenya,Nancy Amanya,Maria Namyalo,Denis Kiyingi,BOS0301
KS24B41/008,A10457,Stephen Malinga,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,2,2,4,Continuing,Late,R,Executive,Kampala,Delta Hall,C,C-28,Not Subscribed,Masaka Secondary School,Masaka,Tier 2,Public/Mixed,,,85%,85,76–100%,5083000,4320550,762450,Akello Lumala,Janet Matovu,Eunice Tumuhimbise,Moses Nakimera,"BOS0304, BOS0306"
KS25B41/006,A10470,Sarah Wright,Kenyan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,1,2,2,Continuing,Normal,NR,None,Kampala,,,,Not Applicable,Tororo Girls School,Tororo,Tier 2,Private/Faith-based,,,100%,100,76–100%,3283000,3283000,0,Jacob Nakayiza,Charles Muwanga,Nakimera Nakalema,Joshua Mulindwa,BOS0105
M23B41/003,A10422,Warren Balikuddembe,Ugandan,Faculty of Agricultural Sciences,Agricultural Science,41,Bachelor of Science in Food Science and Technology,3,2,6,Continuing,Normal,R,Ordinary,Mukono,Beta Hall,B,B-55,Not Subscribed,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,Sports Bursary,Integrity Award,85%,85,76–100%,3933000,3343050,589950,John Nakku,Francis Amanya,Annet Luyiga,Triza Namutebi,BOS0605
