REG. NO.,ACC. NO.,NAME,NATIONALITY,FACULTY,DEPARTMENT,PROGRAM ID,PROGRAM,YEAR,SEMESTER,TOTAL REGISTRATIONS,STUDENT STATUS,REGISTRATION TYPE,RESIDENCE,ACCOMMODATION Type,CAMPUS,HALL,BLOCK,BED,MEALS STATUS,HIGH_SCHOOL,DISTRICT,SCHOOL_TIER,OWNERSHIP,SCHOLARSHIP TYPE,SCHOLARSHIP NAME,FEES,EXPECTED FEES(%) - RAW,EXPECTED FEES(%) - RANGE,TOTAL EXPECTED FEES (UGX),AMOUNT PAID (UGX),TUITION BALANCE (UGX),ACADEMIC OFFICER,ACCOMMODATION OFFICER,ACCOUNTS OFFICER,FINANCIAL AID OFFICER,RETAKE COURSES
J23B86/005,A12874,Winnie Wakabi,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,2,6,Finalist,Normal,NR,None,Mukono,,,,Not Applicable,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,Merit Award,Global Vision Scholarship,60%,60,51–75%,2883000,1729800,1153200,Sharifah Wabwire,Atwine Asiimwe,Robert Akello,Akiiki Nambooze,"BOS0601, BOS0606"
J23B86/008,A12903,William Miller,Kenyan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,2,6,Finalist,Normal,NR,None,Mukono,,,,Not Applicable,Arua Public Secondary School,Arua,Tier 2,Public/Mixed,,,85%,85,76–100%,2883000,2450550,432450,Edwin Nalubega,Ian Ssekandi,Caleb Oloya,Ronald Kijjambu,BOS0603
J23B86/010,A12916,Denis Mugabi,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,2,6,Finalist,Normal,NR,None,Mukono,,,,Not Applicable,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based,Sports Bursary,Future Leaders Grant,80%,80,76–100%,2883000,2306400,576600,Nakuya Ainomugisha,Ian Atim,Lydia Kibirige,Nakintu Namaganda,BOS0406
J23B86/012,A12951,Violet Nakisige,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,2,6,Finalist,Normal,NR,None,Mukono,,,,Not Applicable,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,,,60%,60,51–75%,2883000,1729800,1153200,Timothy Sserugo,Charles Kaddu,Nicholas Chemutai,Vanessa Nuwagaba,"BOS0503, BOS0504"
J23B86/014,A12964,Sharifah Nakkazi,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,2,6,Finalist,Normal,NR,None,Mukono,,,,Not Applicable,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,,,100%,100,76–100%,2883000,2883000,0,Francis Nabaggala,Nambooze Kato,Hope Chemutai,Solomon Otim,"BOS0603, BOS0605"
J23B86/016,A12985,Elijah Nassaka,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,2,6,Finalist,Normal,R,Double Normal,Mukono,Gamma Hall,B,B-15,Not Subscribed,Gulu High School,Gulu,Tier 2,Private/Faith-based,Merit Award,Bright Minds Scholarship,95%,95,76–100%,3733000,3546350,186650,Mary Bamwine,Lloyd Mukwaya,Nakimera Walakira,Naava Nansubuga,BOS0507
J23B86/018,A13022,Warren Nakkazi,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,4,1,7,Retake/Probation,Normal,R,Executive,Mukono,Delta Hall,B,B-50,Not Subscribed,Lwengo Secondary School,Lwengo,Tier 2,Public/Mixed,,,95%,95,76–100%,4383000,4163850,219150,Mary Ssenoga,Elizabeth Nabunya,Gloria Waiswa,Chris Nakimera,BOS0602
J24B86/002,A12826,Peace Wanyama,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,1,5,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Mbale Secondary School,Mbale,Tier 2,Public/Mixed,Leadership Grant,Bright Minds Scholarship,50%,50,26–50%,2883000,1441500,1441500,Gerald Atim,Ronald Wakabi,Janet Namutebi,Janet Nakibuuka,"BOS0403, BOS0406"
J24B86/004,A12835,Florence Kazibwe,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,1,5,Continuing,Late,NR,None,Mukono,,,,Not Applicable,Hoima Secondary School,Hoima,Tier 2,Public/Mixed,,,85%,85,76–100%,2883000,2450550,432450,Olivia Ddamulira,Nancy Nabaggala,Norah Tabaaro,Nabulime Achola,"BOS0301, BOS0302"
J24B86/006,A12867,Abel Ssenoga,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,2,4,Leave of Absence,Normal,R,Double Normal,Mukono,Alpha Hall,B,B-47,Not Subscribed,King's College Budo,Kampala,Tier 1,Private/Faith-based,,,50%,50,26–50%,3733000,1866500,1866500,Nakuya Wasswa,Oliver Kiggundu,Sarah Nakato,Janet Nakibuuka,"BOS0401, BOS0402, BOS0403"
J24B86/009,A12891,Rose Kikomeko,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,1,5,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based,Innovation Scholarship,Community Impact Grant,30%,30,26–50%,2883000,864900,2018100,Jacob Kijjambu,Noah Ssentongo,Tabitha Nabweteme,Namyalo Chemutai,BOS0405
J24B86/011,A12915,Daniel Harris,Tanzanian,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,1,5,Continuing,Normal,R,Ordinary,Mukono,Alpha Hall,B,B-54,Not Subscribed,Kabarole Secondary School,Kabarole,Tier 2,Public/Mixed,,,40%,40,26–50%,3533000,1413200,2119800,Chris Nakiyingi,Akiiki Zziwa,Achan Tibyangye,Natukunda Nansubuga,"BOS0403, BOS0404, BOS0405"
J24B86/014,A12931,Prisca Bainomugisha,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,1,5,Continuing,Normal,R,Double Normal,Mukono,Beta Hall,C,C-58,Subscribed,Nabumali High School,Mbale,Tier 1,Private/Faith-based,,,65%,65,51–75%,3733000,2426450,1306550,Mary Ssewanyana,Yasin Barasa,Lucy Nanyonjo,Isaac Nakandi,"BOS0401, BOS0402"
J24B86/016,A12940,Juliet Ssenfuma,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,1,5,Continuing,Normal,R,Executive,Mukono,Delta Hall,C,C-60,Not Subscribed,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,Merit Award,Integrity Award,100%,100,76–100%,4383000,4383000,0,Gerald Muzira,Namyalo Muzira,Proscovia Lwanga,Abel Bagiire,
J24B86/018,A12959,Vincent Pereza,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,1,5,Continuing,Normal,R,Executive,Mukono,Beta Hall,B,B-59,Subscribed,Kalangala Secondary School,Kalangala,Tier 2,Public/Mixed,Merit Award,Future Leaders Grant,70%,70,51–75%,4383000,3068100,1314900,Judy Okot,Ronald Adong,Lydia Kalibbala,Annet Nakafeero,BOS0402
J24B86/021,A12978,Nakimera Oloya,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,1,5,Continuing,Normal,R,Executive,Mukono,Gamma Hall,D,D-19,Not Subscribed,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,,,100%,100,76–100%,4383000,4383000,0,Nabirye Natukunda,Gift Kigozi,Judy Kijjambu,Naava Akiiki,BOS0406
J24B86/024,A13012,Proscovia Ikojo,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,1,5,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Mbale Secondary School,Mbale,Tier 2,Public/Mixed,,,70%,70,51–75%,2883000,2018100,864900,Abraham Kalyango,Joy Kisembo,Violet Amony,Joshua Mayanja,BOS0403
J25B86/001,A12840,Harper Clark,Kenyan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,1,3,Continuing,Late,R,Ordinary,Mukono,Gamma Hall,A,A-59,Subscribed,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,,,35%,35,26–50%,3533000,1236550,2296450,Lydia Komakech,Rose Magezi,Diana Chemutai,Florence Achola,"BOS0203, BOS0205, BOS0206"
J25B86/003,A12853,Gerald Kalibbala,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,1,3,Continuing,Normal,R,Double Normal,Mukono,Alpha Hall,B,B-29,Not Subscribed,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,,,35%,35,26–50%,3733000,1306550,2426450,Yasin Namutebi,Anena Chemutai,Paul Kahinda,Simon Naggenda,BOS0206
J25B86/006,A12880,Solomon Ddamulira,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,1,3,Continuing,Normal,R,Executive,Mukono,Alpha Hall,C,C-59,Not Subscribed,Muni Girls School,Arua,Tier 2,Private/Faith-based,,,30%,30,26–50%,4383000,1314900,3068100,Gertrude Nakiganda,Brian Ssentongo,Sharifah Nakacwa,Esther Kazibwe,BOS0204
J25B86/008,A12890,Ritah Nakitto,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,1,3,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Kamuli Secondary School,Kamuli,Tier 2,Public/Mixed,,,70%,70,51–75%,2883000,2018100,864900,Richard Natukunda,David Ibanda,Adong Kato,Emmanuel Malinga,"BOS0101, BOS0105, BOS0106"
J25B86/010,A12905,George Komakech,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,1,3,Continuing,Normal,R,Ordinary,Mukono,Gamma Hall,A,A-37,Not Subscribed,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,,,40%,40,26–50%,3533000,1413200,2119800,Sarah Tibyangye,Eunice Kayemba,Nambooze Nuwagaba,George Mirembe,BOS0101
J25B86/012,A12909,Proscovia Barasa,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,1,3,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,,,100%,100,76–100%,2883000,2883000,0,Hellen Mulyagonja,Edwin Kahinda,Margaret Nakacwa,Francis Ainomugisha,
J25B86/014,A12933,Peace Wakabi,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,1,2,2,Leave of Absence,Normal,R,Double Normal,Mukono,Delta Hall,B,B-18,Not Subscribed,Kabarole Secondary School,Kabarole,Tier 2,Public/Mixed,,,75%,75,51–75%,3733000,2799750,933250,Esther Namagombe,Warren Muwanga,Abel Amony,Nambi Zziwa,BOS0107
J25B86/016,A12987,Zaina Tumuhimbise,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,1,2,2,Leave of Absence,Normal,R,Double Normal,Mukono,Beta Hall,A,A-37,Not Subscribed,St. Lawrence Schools,Kampala,Tier 2,Private/Faith-based,,,95%,95,76–100%,3733000,3546350,186650,Sylvia Nabweteme,Precious Zziwa,Natukunda Zziwa,Naggayi Otim,BOS0101
J25B86/018,A12999,Adong Ssewava,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,1,3,Continuing,Late,R,Double Normal,Mukono,Alpha Hall,D,D-50,Subscribed,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,Merit Award,Community Impact Grant,55%,55,51–75%,3733000,2053150,1679850,Stephen Balikuddembe,Nancy Kiyingi,Lilian Kayemba,Dorothy Nakafeero,BOS0201
J25B86/020,A13004,Rose Matovu,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,1,3,Continuing,Late,R,Ordinary,Mukono,Gamma Hall,A,A-20,Not Subscribed,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed,,,55%,55,51–75%,3533000,1943150,1589850,Deborah Kigozi,Racheal Kaboyo,Yasin Bamwine,Trevor Wanyama,BOS0203
J25B86/022,A13018,Judith Barasa,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,1,3,Continuing,Normal,R,Ordinary,Mukono,Beta Hall,B,B-31,Not Subscribed,Kyenjojo Secondary School,Kyenjojo,Tier 2,Public/Mixed,,,65%,65,51–75%,3533000,2296450,1236550,John Akiiki,Amina Kabagenyi,Nakimera Nabawanuka,Irene Byaruhanga,
KJ23B86/004,A12861,Evelyn Smith,Congolese,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,4,1,7,Retake/Probation,Normal,NR,None,Kampala,,,,Not Applicable,Kamuli Secondary School,Kamuli,Tier 2,Public/Mixed,Leadership Grant,Bright Minds Scholarship,40%,40,26–50%,2883000,1153200,1729800,Akiiki Nassaka,Racheal Acen,Yasin Nakisige,Lloyd Atim,BOS0601
KJ23B86/019,A13025,Racheal Arinaitwe,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,2,6,Finalist,Normal,R,Executive,Kampala,Alpha Hall,A,A-30,Subscribed,Kyotera Secondary School,Kyotera,Tier 2,Public/Mixed,,,20%,20,0–25%,4683000,936600,3746400,Vincent Namirembe,Joy Kikomeko,Walter Wasswa,Amina Ainomugisha,"BOS0602, BOS0604"
KJ24B86/013,A12925,Namirembe Gitta,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,1,5,Continuing,Normal,R,Executive,Kampala,Alpha Hall,B,B-16,Not Subscribed,Lira Town College,Lira,Tier 2,Private/Faith-based,,,35%,35,26–50%,4683000,1639050,3043950,Simon Nambooze,Faith Muwonge,Kevin Nakayiza,Charles Kaboyo,"BOS0402, BOS0405"
KJ24B86/023,A13005,Yasin Kibirige,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,1,5,Continuing,Normal,NR,None,Kampala,,,,Not Applicable,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based,,,55%,55,51–75%,2883000,1585650,1297350,Valerie Kigozi,Rose Babirye,Yusuf Ssempijja,Apollo Kalibbala,BOS0404
KM23B86/005,A12844,Daniel Wilson,Burundian,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,2,6,Continuing,Normal,R,Ordinary,Kampala,Alpha Hall,C,C-55,Subscribed,Kalungu Secondary School,Kalungu,Tier 2,Public/Mixed,,,40%,40,26–50%,3733000,1493200,2239800,Namata Ssentongo,Zaina Kayondo,Gertrude Mugerwa,Joshua Ninsiima,"BOS0603, BOS0605, BOS0606"
KM23B86/016,A12967,Robert Nabunya,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,2,6,Continuing,Normal,R,Executive,Kampala,Alpha Hall,A,A-60,Not Subscribed,Kamuli Secondary School,Kamuli,Tier 2,Public/Mixed,,,25%,25,0–25%,4683000,1170750,3512250,Nakkazi Ssentongo,Daniel Kabuye,Stephen Muhangi,Ian Ocaya,"BOS0501, BOS0502, BOS0505"
KM23B86/021,A13019,Mildred Nakabuye,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,2,6,Continuing,Normal,R,Executive,Kampala,Beta Hall,C,C-30,Subscribed,Kabarole Secondary School,Kabarole,Tier 2,Public/Mixed,,,35%,35,26–50%,4683000,1639050,3043950,Sheila Ntambi,Hellen Kazibwe,Nakintu Kijjambu,Atim Gitta,"BOS0604, BOS0606"
KM24B86/014,A12911,Nabasirye Otim,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,2,4,Continuing,Normal,NR,None,Kampala,,,,Not Applicable,Trinity College Nabbingo,Kampala,Tier 1,Private/Faith-based,,,60%,60,51–75%,2883000,1729800,1153200,Valerie Kibirige,George Nakato,Nabulime Nakimera,Lloyd Ssewava,"BOS0402, BOS0403"
KM25B86/004,A12834,Daisy Luyiga,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,1,2,2,Continuing,Normal,NR,None,Kampala,,,,Not Applicable,Lira Town College,Lira,Tier 2,Private/Faith-based,,,100%,100,76–100%,2883000,2883000,0,Hellen Amony,Namazzi Komakech,Hellen Wakabi,Norah Nafuna,"BOS0204, BOS0206"
KM25B86/011,A12901,Daniel Lwanga,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,1,2,2,Continuing,Normal,R,Double Normal,Kampala,Beta Hall,A,A-22,Not Subscribed,Nabisunsa Girls School,Kampala,Tier 1,Private/Faith-based,Innovation Scholarship,Integrity Award,55%,55,51–75%,3883000,2135650,1747350,Fred Kijjambu,Peace Kamara,Martin Kalyango,Valerie Zziwa,"BOS0202, BOS0204, BOS0206"
KS24B86/001,A12828,Denis Mukasa,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,2,4,Continuing,Normal,R,Double Normal,Kampala,Delta Hall,A,A-48,Not Subscribed,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,Sports Bursary,Community Impact Grant,45%,45,26–50%,3883000,1747350,2135650,Trevor Nakiganda,Grace Barasa,Nicholas Kazibwe,Nabasirye Ssempijja,"BOS0301, BOS0304"
KS25B86/026,A12995,Michael Waiswa,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,1,2,2,Continuing,Normal,NR,None,Kampala,,,,Not Applicable,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,,,80%,80,76–100%,2883000,2306400,576600,Anena Olara,Namata Kiconco,Precious Babirye,Shamim Kaddu,
M23B86/001,A12817,Nakimera Ladu,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,1,5,Leave of Absence,Normal,R,Ordinary,Mukono,Alpha Hall,D,D-02,Not Subscribed,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,,,50%,50,26–50%,3533000,1766500,1766500,Tabitha Chemutai,Moses Kakooza,Juliet Nakisige,Fred Natukunda,"BOS0503, BOS0504, BOS0505"
M23B86/003,A12821,Mia Harris,Congolese,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,2,6,Continuing,Normal,R,Double Normal,Mukono,Delta Hall,B,B-60,Not Subscribed,Lyantonde Secondary School,Lyantonde,Tier 2,Public/Mixed,,,90%,90,76–100%,3733000,3359700,373300,Edith Nabawanuka,Natukunda Kijjambu,Lawrence Bategeka,Joy Nakalema,BOS0606
M23B86/006,A12847,Emmanuel Chemutai,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,2,6,Continuing,Normal,R,Ordinary,Mukono,Alpha Hall,A,A-59,Subscribed,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed,,,60%,60,51–75%,3533000,2119800,1413200,James Yiga,Mildred Walakira,Asiimwe Mitala,Lucy Namutebi,BOS0604
M23B86/009,A12866,Evelyn Williams,Kenyan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,2,6,Continuing,Normal,R,Executive,Mukono,Beta Hall,A,A-15,Not Subscribed,Nabumali High School,Mbale,Tier 1,Private/Faith-based,,,20%,20,0–25%,4383000,876600,3506400,Shamim Ntale,Sarah Bataringaya,Akiiki Amanya,Akena Nabawanuka,BOS0606
M23B86/011,A12886,Margaret Opio,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,1,5,Leave of Absence,Late,NR,None,Mukono,,,,Not Applicable,Fort Portal Secondary School,Fort Portal,Tier 2,Public/Mixed,,,45%,45,26–50%,2883000,1297350,1585650,Namirembe Ouma,Ronald Nakiganda,Edith Nakalema,Norah Nansubuga,BOS0504
M23B86/013,A12908,Natukunda Namagombe,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,2,6,Continuing,Normal,R,Double Normal,Mukono,Delta Hall,B,B-24,Not Subscribed,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,,,100%,100,76–100%,3733000,3733000,0,Sophia Balikuddembe,Mildred Nakisige,Natukunda Asiimwe,Atim Atwine,BOS0601
M23B86/015,A12948,Sheila Waiswa,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,2,6,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,St. Peter's College Tororo,Tororo,Tier 2,Private/Faith-based,Merit Award,Future Leaders Grant,100%,100,76–100%,2883000,2883000,0,Naggayi Bagiire,Shamim Amanya,Yusuf Nakafeero,Denis Atim,BOS0503
M23B86/019,A13001,Susan Kazibwe,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,2,6,Continuing,Normal,R,Ordinary,Mukono,Alpha Hall,A,A-07,Subscribed,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,,,65%,65,51–75%,3533000,2296450,1236550,Moses Isabirye,Akiiki Malinga,Namara Isabirye,Anena Akena,"BOS0603, BOS0605"
M23B86/022,A13023,Peter Nandutu,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,3,2,6,Continuing,Normal,R,Double Normal,Mukono,Delta Hall,A,A-30,Not Subscribed,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,,,70%,70,51–75%,3733000,2613100,1119900,Natukunda Nassaka,John Isabirye,Namyalo Asiimwe,Saul Lumala,"BOS0603, BOS0606"
M24B86/002,A12833,Nicholas Nakayiza,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,2,4,Continuing,Normal,R,Double Normal,Mukono,Alpha Hall,C,C-18,Subscribed,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed,,,65%,65,51–75%,3733000,2426450,1306550,Precious Ssenfuma,Peace Pereza,Atim Kaddu,Achan Malinga,"BOS0401, BOS0402"
M24B86/004,A12841,Amelia Garcia,Tanzanian,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,2,4,Continuing,Normal,R,Ordinary,Mukono,Beta Hall,B,B-25,Not Subscribed,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,,,90%,90,76–100%,3533000,3179700,353300,Stephen Obua,Doreen Gitta,Daniel Wandera,Margaret Lwanga,"BOS0402, BOS0405"
M24B86/006,A12852,Aisha Malinga,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,2,4,Continuing,Normal,R,Executive,Mukono,Alpha Hall,B,B-01,Subscribed,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed,,,30%,30,26–50%,4383000,1314900,3068100,Janet Nakalema,Vanessa Namyalo,Caleb Nakisige,Juliet Kalibbala,BOS0404
M24B86/008,A12863,Patrick Namagombe,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,2,4,Continuing,Late,NR,None,Mukono,,,,Not Applicable,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based,,,85%,85,76–100%,2883000,2450550,432450,Ronald Otim,Isaac Muwanga,Amina Nansubuga,Namirembe Atwine,
M24B86/011,A12889,Patience Wakabi,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,2,4,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Makerere College School,Kampala,Tier 2,Private/Faith-based,Sports Bursary,Integrity Award,60%,60,51–75%,2883000,1729800,1153200,Nakato Nakafeero,Maria Adong,Nakimera Kazibwe,Diana Walakira,BOS0107
M24B86/013,A12906,Zaituni Nabaggala,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,1,3,Leave of Absence,Normal,R,Executive,Mukono,Delta Hall,A,A-07,Subscribed,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based,,,65%,65,51–75%,4383000,2848950,1534050,Charles Lumala,Eunice Ssewava,Joan Nakimera,Valerie Twinamatsiko,BOS0107
M24B86/016,A12917,Abel Tindyebwa,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,2,4,Continuing,Normal,R,Executive,Mukono,Beta Hall,D,D-32,Not Subscribed,Jinja Secondary School,Jinja,Tier 2,Public/Mixed,Sports Bursary,Integrity Award,100%,100,76–100%,4383000,4383000,0,Walter Nakalema,Gertrude Bashaija,Elizabeth Nabawanuka,Diana Nassaka,"BOS0301, BOS0303, BOS0305"
M24B86/018,A12963,Irene Naddumba,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,2,4,Continuing,Late,NR,None,Mukono,,,,Not Applicable,Masaka Secondary School,Masaka,Tier 2,Public/Mixed,,,60%,60,51–75%,2883000,1729800,1153200,Noah Ibanda,Racheal Wasswa,Martin Wakabi,Denis Byaruhanga,BOS0402
M24B86/020,A12981,Irene Okello,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,2,4,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based,,,60%,60,51–75%,2883000,1729800,1153200,Patrick Olara,John Kamanzi,Nakimera Kasule,Maria Wasswa,BOS0403
M24B86/022,A12984,Naggayi Galiwango,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,2,4,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,,,90%,90,76–100%,2883000,2594700,288300,Gift Nabirye,Shamim Kafuko,Zaina Sabiiti,Peter Nafuna,BOS0403
M24B86/024,A13011,John Nabunya,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,2,2,4,Continuing,Normal,R,Double Normal,Mukono,Beta Hall,C,C-36,Subscribed,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,,,60%,60,51–75%,3733000,2239800,1493200,Triza Adong,David Wanyama,Zaina Kabagenyi,Namyalo Nakku,"BOS0401, BOS0406"
M25B86/001,A12820,Simon Nandutu,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,1,2,2,Continuing,Normal,R,Ordinary,Mukono,Beta Hall,C,C-47,Not Subscribed,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,,,30%,30,26–50%,3533000,1059900,2473100,Joshua Nakato,Sophia Nakandi,Stephen Mukasa,Noah Byarugaba,BOS0205
M25B86/005,A12859,Namyalo Luyiga,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,1,2,2,Continuing,Normal,R,Ordinary,Mukono,Beta Hall,D,D-54,Subscribed,Muni Girls School,Arua,Tier 2,Private/Faith-based,,,40%,40,26–50%,3533000,1413200,2119800,Gertrude Bukenya,Michael Jjumba,Charles Magezi,Moses Kalema,"BOS0202, BOS0203"
M25B86/007,A12878,Paul Kalyango,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,1,2,2,Continuing,Normal,R,Executive,Mukono,Delta Hall,A,A-11,Not Subscribed,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based,,,100%,100,76–100%,4383000,4383000,0,Yasin Balikuddembe,Saul Amony,George Pereza,Brian Namutebi,BOS0106
M25B86/010,A12898,Nakintu Jjumba,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,1,2,2,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,,,100%,100,76–100%,2883000,2883000,0,Nicholas Bainomugisha,Nabasirye Kamara,James Namaganda,Emmanuel Isabirye,"BOS0103, BOS0104, BOS0107"
M25B86/014,A12927,Mark Kazibwe,Ugandan,School of Business,Accounting,86,Bachelor of Science in Economics and Statistics,1,2,2,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Kabarole Secondary School,Kabarole,Tier 2,Public/Mixed,,,55%,55,51–75%,2883000,1585650,1297350,Valerie Kamara,Esther Oloya,John Tumuhimbise,Edwin Opio,BOS0105
